date_policy,country,med_est,high_est,low_est,sd_est
2020-01-02,Bolivia,-0.1860725,-0.1856706,-0.186531,3.6464607470737705e-4
2020-01-02,Bosnia and Herzegovina,-0.188238,-0.18529459999999998,-0.189002,0.0012390843574818218
2020-01-02,Botswana,-0.185921,-0.18522195,-0.18795530000000002,6.862877441492186e-4
2020-01-02,Brazil,-0.18555,-0.18455055,-0.18687315,7.003782478061407e-4
2020-01-02,Brunei,-0.185894,-0.18545795,-0.1867271,4.5721792048297586e-4
2020-01-02,Bulgaria,-0.186306,-0.1847889,-0.18673030000000002,6.884824507976878e-4
2020-01-02,Burkina Faso,-0.186917,-0.18429160000000003,-0.18715110000000001,8.804935570484085e-4
2020-01-02,Burundi,-0.1849365,-0.18428,-0.18617725,6.296560488271059e-4
2020-01-02,Cambodia,-0.186445,-0.18596265,-0.18749635,5.806355211283495e-4
2020-01-02,Cameroon,-0.185487,-0.185115,-0.186742,4.983466088981142e-4
2020-01-02,Canada,-0.185718,-0.18490544999999997,-0.18735459999999998,7.20073879872709e-4
2020-01-02,Cape Verde,-0.185546,-0.185014,-0.186716,6.29653412794976e-4
2020-01-02,Central African Republic,-0.186665,-0.18588305,-0.187007,4.5480455450748567e-4
2020-01-02,Chad,-0.1860505,-0.18509885000000004,-0.18729629999999997,7.074669202217291e-4
2020-01-02,Chile,-0.184897,-0.18361,-0.18612660000000003,7.497325176488284e-4
2020-01-02,China,-0.185728,-0.18508495,-0.18742540000000002,7.40637415577544e-4
2020-01-02,Colombia,-0.1843345,-0.18347495,-0.1864632,9.27725297350114e-4
2020-01-02,Comoros,-0.1866295,-0.185843,-0.1878223,7.046690314500223e-4
2020-01-02,Costa Rica,-0.1857435,-0.18477054999999998,-0.18672425,6.843640205514256e-4
2020-01-02,Croatia,-0.186273,-0.186168,-0.1887171,9.125462758170231e-4
2020-01-02,Cuba,-0.18482749999999998,-0.18394895,-0.187486,0.001059791876007326
2020-01-02,Cyprus,-0.18571,-0.18491685,-0.18668,5.328069546301508e-4
2020-01-02,Czechia,-0.185496,-0.18476879999999998,-0.1866751,6.328522789808681e-4
2020-01-02,Democratic Republic of the Congo,-0.18698900000000002,-0.18636295,-0.18774505,5.439156455899604e-4
2020-01-02,Denmark,-0.184643,-0.18427,-0.18689830000000002,9.360228804765885e-4
2020-01-02,Djibouti,-0.184873,-0.18446100000000001,-0.186963,8.376699109429969e-4
2020-01-02,Dominica,-0.1844615,-0.183371,-0.18589819999999999,7.727637287205354e-4
2020-01-02,Dominican Republic,-0.186088,-0.1849879,-0.18646919999999997,5.046985432154615e-4
2020-01-02,Ecuador,-0.18732,-0.184627,-0.187666,0.0010954443004014183
2020-01-02,Egypt,-0.186238,-0.184314,-0.187033,7.796274703866295e-4
2020-01-02,El Salvador,-0.187013,-0.18462885,-0.18815115000000002,0.0010891608475442492
2020-01-02,Eritrea,-0.185945,-0.1849683,-0.187933,7.110079219232319e-4
2020-01-02,Estonia,-0.186168,-0.184705,-0.18697975,5.755634090781612e-4
2020-01-02,Eswatini,-0.184757,-0.18433375,-0.18715544999999997,8.709355468212291e-4
2020-01-02,Ethiopia,-0.186156,-0.18464760000000002,-0.18638325,5.60788275527112e-4
2020-01-02,European Union,-0.186839,-0.184354,-0.187802,0.0010389509698673092
2020-01-02,Fiji,-0.1858035,-0.1845023,-0.1861205,5.797708067598153e-4
2020-01-02,Finland,-0.18749149999999998,-0.18424554999999998,-0.18859,0.001218322762068898
2020-01-02,France,-0.18632949999999998,-0.183362,-0.186719,0.001103151226493919
2020-01-02,Gabon,-0.1857165,-0.18391905,-0.18626440000000002,7.438342927907933e-4
2020-01-02,Gambia,-0.1861,-0.18507755,-0.187385,7.06903116994855e-4
2020-01-02,Georgia,-0.185821,-0.185188,-0.18632,4.1467256231252813e-4
2020-01-02,Germany,-0.1843475,-0.18345085000000003,-0.1867516,0.0010766257093670825
2020-01-02,Ghana,-0.1865005,-0.185464,-0.18736445000000002,5.516404491665217e-4
2020-01-02,Greece,-0.18685449999999998,-0.18447925,-0.1872051,8.697085846163572e-4
2020-01-02,Guatemala,-0.185986,-0.18400865,-0.1875543,0.0010245685178959033
2020-01-02,Guinea,-0.186442,-0.18556535000000002,-0.187455,5.710612992654966e-4
2020-01-02,Guyana,-0.18731799999999998,-0.18543265,-0.18762915,8.477454093640056e-4
2020-01-02,Haiti,-0.185575,-0.184834,-0.1866571,5.914193528038527e-4
2020-01-02,Honduras,-0.184633,-0.184243,-0.18583334999999998,6.136200239843764e-4
2020-01-02,Hong Kong,-0.185891,-0.1832042,-0.18659320000000001,9.537239916371567e-4
2020-01-02,Hungary,-0.18543,-0.18504090000000004,-0.186725,5.246212303780779e-4
2020-01-02,Iceland,-0.186571,-0.185207,-0.18862674999999998,9.771824504429224e-4
2020-01-02,India,-0.188185,-0.18397595,-0.188731,0.0015623722758744323
2020-01-02,Indonesia,-0.184159,-0.18359625,-0.188127,0.001289565490418749
2020-01-02,Iran,-0.186413,-0.1846818,-0.18686565,6.972484326880655e-4
2020-01-02,Iraq,-0.185292,-0.184534,-0.18599525,4.7691486582839915e-4
2020-01-02,Ireland,-0.18626399999999999,-0.1852722,-0.18741329999999998,6.177267948557081e-4
2020-01-02,Israel,-0.186708,-0.18428085,-0.187066,7.848877215451469e-4
2020-01-02,Italy,-0.186148,-0.1855927,-0.1873233,5.587267025975115e-4
2020-01-02,Ivory Coast,-0.18653350000000002,-0.18562240000000002,-0.186757,4.0461926768191407e-4
2020-01-02,Jamaica,-0.18517,-0.1845561,-0.186934,6.896867293964078e-4
2020-01-02,Japan,-0.184751,-0.18429494999999999,-0.187564,0.0010113227540582384
2020-01-02,Jordan,-0.1862235,-0.18535564999999998,-0.187213,6.171800744551878e-4
2020-01-02,Kazakhstan,-0.18632749999999998,-0.184974,-0.187788,8.407772486989791e-4
2020-01-02,Kenya,-0.1847665,-0.1838009,-0.1864907,7.559226046597558e-4
2020-01-02,Kiribati,-0.1855865,-0.18470095,-0.18672255000000001,6.929877458800052e-4
2020-01-02,Kosovo,-0.18589050000000001,-0.185312,-0.186387,3.2736815669639715e-4
2020-01-02,Kuwait,-0.185874,-0.184832,-0.18666,6.124283784221149e-4
2020-01-02,Kyrgyzstan,-0.186549,-0.1839888,-0.187694,9.251669440862137e-4
2020-01-02,Laos,-0.186094,-0.183713,-0.1874951,9.93734200946272e-4
2020-01-02,Latvia,-0.1853555,-0.18466670000000002,-0.18793134999999997,8.237845138790947e-4
2020-01-02,Lebanon,-0.185479,-0.1852229,-0.18683219999999998,5.483592320673423e-4
2020-01-02,Lesotho,-0.18521,-0.18470280000000003,-0.18692315,7.741673152644782e-4
2020-01-02,Liberia,-0.1853615,-0.18438079999999998,-0.1874741,0.001044394311584554
2020-01-02,Libya,-0.1860165,-0.18424695,-0.18677105,6.781922085806123e-4
2020-01-02,Lithuania,-0.186314,-0.18469185,-0.18676520000000002,5.937250864632036e-4
